"Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Owns_House","Property_Area","Loan_Status"
1,2,1,0,59779,46697,403,300,0,"Semiurban",0
0,1,1,0,38662,41547,299,120,0,"Semiurban",0
0,0,1,0,39185,17924,428,240,1,"Urban",0
0,2,1,0,10810,41753,194,180,0,"Semiurban",0
1,3,0,0,54042,28492,674,120,1,"Rural",1
0,1,1,1,37883,46315,538,120,0,"Rural",0
0,0,1,0,42349,32066,141,60,0,"Urban",0
0,3,0,0,55215,22047,230,120,0,"Urban",0
0,0,0,1,41419,6320,177,360,0,"Urban",0
0,1,0,1,70342,49270,327,360,1,"Urban",1
1,0,1,0,67806,465730,491,180,1,"Semiurban",1
0,2,0,0,27871,14700,308,360,0,"Semiurban",0
1,0,1,0,598460,29157,397,120,1,"Rural",1
0,1,0,0,51991,14284,624,60,1,"Semiurban",1
0,2,1,1,50136,28993,533,300,1,"Urban",1
0,0,1,1,74029,NA,351,180,1,"Urban",1
1,0,0,1,35548,11489,261,180,0,"Urban",0
1,2,1,0,7650,17673,537,120,1,"Urban",0
1,3,1,1,60278,32991,533,240,0,"Semiurban",1
0,3,1,0,47835,12859,697,360,0,"Rural",0
0,2,1,1,19225,11015,600,240,1,"Rural",1
1,0,0,0,48360,43974,512,120,0,"Semiurban",1
1,3,0,0,69328,38447,399,240,0,"Urban",0
0,2,0,1,56343,19024,352,120,0,"Semiurban",0
1,1,1,1,67008,13096,467,360,0,"Semiurban",1
0,0,0,0,60573,25562,117,360,1,"Rural",1
1,1,0,1,54932,14202,106,180,0,"Semiurban",0
1,0,1,0,23881,1023,519,240,1,"Urban",1
1,3,0,0,36557,25848,202,240,1,"Semiurban",0
0,1,0,1,72730,1779,250,240,0,"Rural",0
0,1,0,1,64324,44890,648,240,0,"Rural",0
1,2,1,0,23841,48548,88,60,1,"Rural",1
0,3,0,0,16475,10426,561,300,1,"Semiurban",0
0,3,0,0,9671,12536,297,180,0,"Urban",0
0,0,0,0,63584,11351,163,180,1,"Urban",1
0,2,1,0,34764,3983,427,300,0,"Urban",0
1,2,1,0,56787,46873,184,60,1,"Rural",1
0,0,0,1,8961,41983,172,240,1,"Rural",0
0,1,0,1,58890,14581,644,300,0,"Rural",0
1,0,0,1,66884,48030,262,60,1,"Urban",1
0,0,1,0,8155,15770,551,240,1,"Rural",1
0,0,1,0,68768,7385,224,300,1,"Rural",1
0,2,0,1,63851,22542,324,180,0,"Semiurban",1
1,0,0,1,12221,20223,285,300,0,"Rural",0
1,0,1,1,47566,549770,595,60,1,"Rural",1
0,0,1,0,5711,35504,220,120,1,"Urban",1
0,3,0,0,15531,19158,469,240,1,"Urban",1
1,1,1,0,13480,25067,586,300,0,"Semiurban",0
1,1,0,1,43708,10051,146,240,1,"Urban",0
1,1,0,1,15191,NA,70,360,0,"Urban",0
0,1,1,1,62949,25167,339,240,1,"Rural",1
0,2,0,0,70658,35502,671,300,0,"Semiurban",0
1,2,0,1,NA,32570,131,240,0,"Rural",0
0,0,0,1,74190,1492,156,60,0,"Rural",0
0,2,0,0,69708,41907,335,120,1,"Semiurban",1
0,1,0,0,10317,26151,670,120,0,"Urban",1
0,3,0,1,59896,682,599,300,1,"Semiurban",1
0,0,0,0,3159,25204,380,300,1,"Rural",1
0,0,1,1,60115,20866,181,240,1,"Semiurban",1
0,1,1,0,70665,46662,388,180,1,"Urban",1
1,1,0,0,22462,21131,270,120,0,"Semiurban",1
1,1,1,0,5917,44714,126,120,0,"Rural",0
1,2,0,0,22397,32868,654,360,0,"Rural",0
1,0,0,0,29125,1093,641,360,0,"Rural",0
1,1,1,0,74862,13485,99,180,1,"Rural",0
1,3,0,1,63729,10683,392,120,0,"Urban",0
1,0,0,1,50277,20156,381,300,0,"Semiurban",0
1,0,1,1,17349,41392,343,120,1,"Semiurban",0
1,2,1,0,63715,5334,201,300,1,"Semiurban",1
0,0,1,0,37728,33304,144,300,1,"Urban",1
0,1,1,1,33792,49752,430,180,1,"Semiurban",0
1,1,1,1,10902,42626,489,120,1,"Semiurban",1
0,3,1,1,38158,35523,370,240,0,"Urban",0
0,0,0,0,6917,8510,139,120,1,"Rural",1
1,0,1,1,15620,15645,578,120,0,"Rural",1
1,2,1,1,27691,23900,332,60,1,"Urban",1
1,1,0,1,73734,31107,394,360,0,"Urban",1
0,3,0,1,29046,478220,282,180,1,"Rural",1
0,1,1,0,25386,44692,401,240,0,"Urban",0
1,0,0,1,14271,34295,482,240,0,"Semiurban",1
0,0,0,1,24526,24646,363,240,1,"Semiurban",1
0,3,0,0,46798,443,429,300,1,"Urban",1
0,0,0,0,28257,48417,306,180,0,"Rural",0
1,3,0,0,60985,41346,446,360,1,"Semiurban",1
0,3,0,0,56130,5674,306,300,1,"Rural",1
0,1,0,0,29645,37963,208,240,0,"Semiurban",0
0,3,1,1,27189,1869,252,300,0,"Rural",0
0,0,0,1,NA,42971,462,300,1,"Urban",0
0,2,1,1,8800,324970,131,60,0,"Semiurban",0
0,2,0,0,27229,350600,495,240,0,"Semiurban",0
0,0,0,1,61524,44311,74,240,1,"Semiurban",1
1,2,1,0,32717,16663,67,360,1,"Urban",1
1,2,0,0,66238,770,546,180,1,"Urban",1
0,3,0,1,7819,21946,165,120,1,"Rural",1
1,2,1,0,59784,29000,198,120,1,"Rural",1
0,2,0,1,72836,1559,375,60,1,"Rural",1
0,2,0,0,49935,27073,70,120,1,"Semiurban",1
0,1,1,1,51429,44327,655,360,1,"Rural",1
1,0,1,0,6998,28123,197,300,1,"Rural",1
0,3,0,0,44750,6982,687,240,0,"Semiurban",0
0,2,1,0,8180,18824,682,180,0,"Rural",1
1,0,0,1,NA,32876,689,120,0,"Semiurban",0
1,2,0,0,20879,9147,495,60,1,"Semiurban",1
0,1,1,1,698330,7078,336,180,0,"Rural",1
1,1,1,0,17316,19744,374,180,0,"Rural",0
1,2,1,1,27525,19873,249,240,1,"Rural",1
0,2,1,0,8378,317,197,60,1,"Urban",1
0,2,0,1,51669,33108,416,360,0,"Rural",0
0,1,1,0,5577,46396,270,240,1,"Urban",1
1,1,1,0,24690,37212,277,60,1,"Semiurban",0
1,0,0,0,61514,18458,355,360,0,"Semiurban",0
1,3,0,1,63962,45456,228,60,1,"Rural",1
0,3,0,0,72195,NA,525,300,0,"Rural",0
1,1,0,0,21953,22062,466,180,0,"Rural",0
1,3,0,0,711880,45423,659,120,1,"Urban",1
0,2,0,1,NA,43350,677,180,1,"Semiurban",1
0,0,0,0,45599,12180,172,240,0,"Urban",0
0,1,0,1,40985,45959,334,60,0,"Rural",0
1,1,0,1,16537,13384,52,60,1,"Urban",1
0,3,1,0,45717,44153,311,360,0,"Semiurban",0
1,2,1,0,12027,12128,520,300,1,"Rural",1
1,0,0,1,5536,12473,381,300,0,"Urban",0
0,3,1,1,5525,39747,310,360,1,"Semiurban",1
0,1,0,0,12176,2366,52,360,0,"Rural",0
0,1,0,1,73423,27578,496,360,1,"Rural",1
0,3,0,1,73013,45649,265,300,1,"Rural",1
0,2,0,0,20755,15327,528,180,1,"Rural",0
1,0,1,0,276080,1565,618,180,0,"Urban",1
1,0,1,1,62843,36472,644,60,1,"Urban",1
1,0,0,1,55513,26976,489,60,0,"Rural",0
0,0,1,0,74640,36969,249,300,0,"Rural",0
1,2,1,1,23693,45473,328,120,1,"Urban",1
0,1,0,1,60908,12209,184,240,1,"Urban",1
0,1,0,0,15726,12929,343,300,0,"Rural",0
1,0,1,1,9898,10444,254,120,0,"Rural",1
1,0,1,1,47945,8756,134,240,0,"Urban",0
0,0,0,1,48684,3453,342,180,0,"Urban",0
1,3,0,1,47874,48424,439,360,1,"Urban",1
0,3,1,0,72878,42262,187,60,0,"Urban",0
1,1,0,1,51008,47292,460,240,1,"Rural",1
1,1,0,1,NA,26326,558,60,1,"Urban",0
1,0,0,0,37404,24001,267,360,0,"Rural",0
1,3,1,1,14104,33025,667,120,0,"Urban",0
1,2,1,1,29048,14788,106,60,0,"Urban",1
0,3,0,0,20628,1046,141,300,0,"Semiurban",0
1,1,1,1,16268,6646,419,300,0,"Semiurban",1
1,3,0,1,67734,28160,620,360,0,"Semiurban",1
1,1,1,1,13704,26287,461,240,1,"Urban",0
0,0,1,1,73050,16432,242,240,1,"Semiurban",1
0,2,1,1,27834,24743,166,60,0,"Semiurban",0
0,0,0,1,51308,34621,324,120,0,"Rural",0
0,0,0,1,63737,44814,402,300,0,"Semiurban",0
0,2,0,0,64122,20125,495,360,0,"Semiurban",0
1,2,1,0,41383,34836,85,180,0,"Rural",0
1,2,0,0,53420,46184,673,60,1,"Urban",0
1,1,0,1,17840,40225,246,300,1,"Semiurban",0
0,0,0,0,27771,5823,339,300,1,"Rural",1
0,1,0,0,31733,26025,535,120,0,"Rural",0
1,2,1,0,22480,32996,460,300,0,"Semiurban",0
0,1,0,0,19945,36020,472,120,0,"Rural",0
0,2,0,1,14641,33119,288,120,1,"Semiurban",0
0,3,1,1,18232,35040,347,180,0,"Urban",0
1,2,0,1,47326,20421,91,60,0,"Semiurban",0
1,0,1,0,46851,24809,137,240,1,"Urban",1
0,0,1,1,27615,17241,225,300,0,"Rural",0
0,0,1,0,26255,47417,327,120,1,"Rural",0
0,1,0,1,33709,9068,392,120,1,"Urban",1
0,0,1,1,59173,26834,346,240,0,"Semiurban",1
1,2,1,0,650280,4194,329,240,0,"Semiurban",0
0,3,1,0,13068,312200,473,120,0,"Semiurban",0
1,0,0,1,45089,13699,465,300,1,"Rural",1
1,1,1,1,48832,3324,82,60,1,"Rural",1
1,3,1,1,9822,43911,77,300,1,"Urban",0
0,0,1,0,23893,39029,258,60,0,"Semiurban",0
1,0,0,0,17251,21335,651,300,1,"Rural",0
1,3,1,0,46145,26832,643,240,0,"Rural",1
0,0,1,0,74215,1432,297,300,1,"Rural",1
0,1,0,1,54837,480,427,60,1,"Urban",1
0,2,0,0,42380,2970,407,300,1,"Rural",1
1,2,0,0,24205,34433,67,300,0,"Urban",0
0,3,1,0,59959,49480,262,240,0,"Urban",0
1,2,1,1,69948,14265,563,360,1,"Urban",1
1,0,1,1,70785,8608,143,360,0,"Semiurban",0
0,0,1,0,70775,7250,66,300,0,"Semiurban",0
1,1,0,0,56354,944,288,360,0,"Rural",0
1,2,1,1,32028,34820,577,300,1,"Semiurban",1
1,3,0,1,67082,10542,226,240,1,"Semiurban",1
1,0,1,0,62892,7703,180,300,0,"Rural",0
0,3,1,1,17803,26232,347,180,1,"Urban",0
1,0,1,0,18653,34219,112,120,0,"Urban",1
0,0,0,1,23674,11203,179,240,1,"Rural",0
1,1,0,0,45345,43743,412,60,0,"Rural",0
1,2,0,0,42920,40686,665,180,0,"Semiurban",0
0,1,0,0,35614,29922,319,180,1,"Urban",0
1,2,1,0,21968,13965,317,120,0,"Semiurban",1
1,3,1,1,57850,20387,549,180,0,"Urban",0
1,2,1,1,65148,34354,589,120,0,"Urban",0
1,3,1,0,63661,49541,536,300,0,"Semiurban",0
1,0,1,1,20191,3728,266,240,0,"Urban",0
1,3,0,0,62610,24391,406,240,0,"Urban",0
0,3,0,1,48252,25394,695,240,1,"Urban",0
0,0,1,0,15093,12299,335,120,1,"Semiurban",1
0,3,1,1,29025,6480,528,120,1,"Semiurban",0
1,3,1,1,37336,28530,595,180,0,"Rural",0
1,0,1,1,28436,47232,461,240,1,"Urban",0
1,0,0,1,45690,4106,380,180,0,"Urban",0
0,0,1,0,73440,41449,498,300,0,"Urban",0
1,2,1,0,31094,18703,76,180,0,"Semiurban",0
0,0,1,1,66399,32100,161,240,1,"Urban",1
1,0,1,1,7509,11120,541,120,0,"Semiurban",0
1,3,0,1,73062,44123,186,180,1,"Semiurban",1
1,1,1,1,41677,38920,587,180,0,"Semiurban",0
0,1,0,0,57501,19318,311,120,1,"Semiurban",1
1,2,0,1,38935,25722,696,120,0,"Rural",0
0,2,1,1,70050,31000,571,240,0,"Semiurban",0
1,1,1,1,20795,2505,348,300,1,"Rural",1
1,1,1,1,43492,23463,159,60,0,"Semiurban",1
0,0,1,1,121670,14786,482,240,1,"Semiurban",1
1,3,1,1,54910,7798,528,180,1,"Urban",1
1,0,0,1,12304,24253,673,240,0,"Semiurban",0
1,2,0,1,62289,39702,662,240,1,"Urban",1
1,1,0,0,7808,9003,316,120,1,"Semiurban",0
0,2,0,1,34897,16439,262,300,0,"Rural",0
0,0,0,1,7907,8899,358,60,0,"Rural",0
1,2,1,1,71761,14714,103,300,1,"Rural",0
1,2,1,1,4014,15861,444,240,0,"Semiurban",1
0,3,0,0,70557,20502,561,120,0,"Urban",1
1,2,1,1,54828,28424,374,120,0,"Semiurban",1
